,abstract,image,links,noticia,titulos,categorias
0,"Na avaliação da agência, déficit fiscal do Brasil segue grande e deve recuar apenas gradualmente",0.0,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641420-eleicao-no-brasil-e-imprevisivel-e-fragmentada-diz-fitch.html,"A Fitch afirma que o ambiente político no Brasil é ""desafiador"", em meio a uma corrida eleitoral ""imprevisível e fragmentada"". Segundo ela, não está claro quem pode chegar ao provável segundo turno e há incerteza sobre o ritmo, o escopo e a ""qualidade"" dos ajustes da política após a disputa nas urnas. Outra incerteza citada pela agência se relaciona à base no Congresso do vencedor, fator que será importante para garantir a governabilidade e o avanço nas reformas ""necessárias para melhorar a perspectiva para as finanças públicas e o crescimento"".Na avaliação da agência, o déficit fiscal do Brasil segue grande e deve recuar apenas gradualmente, o que aumenta a vulnerabilidade a choques. Segundo ela, o déficit fiscal do governo deve seguir elevado, em cerca de 8% do Produto Interno Bruto (PIB) em 2018, bem pior que a mediana de 3% dos países com rating BB. Há pouco, a Fitch reafirmou o rating do Brasil em BB-, com perspectiva estável.A dívida do governo deve atingir 77,5% do PIB em 2018 e continuará a avançar em 2019 e 2020, diz a agência. A consolidação fiscal no médio prazo dependerá do sucesso do próximo governo para combater os desafios fiscais, argumenta a agência. A Fitch cita ainda a inflação ""moderada"" e os déficits em conta corrente ""baixos"".","Eleição no Brasil é imprevisível e fragmentada, diz Fitch",{}
0,Camila Penteado se filiou ao PSDB em 2 de outubro de 2003,F_0001199320.JPG,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641419-filha-de-juiz-que-tirou-inquerito-de-moro-contra-richa-tem-cargo-no-governo-do-pr.html,"A filha do desembargador Luiz Fernando Wowk Penteado, do Tribunal Regional Eleitoral do Paraná, que tirou do juiz Sérgio Moro o inquérito contra o ex-governador Beto Richa (PSDB), é filiada ao PSDB e tem cargo no governo do Estado. Camila Witchmichen Penteado foi nomeada em 17 de novembro do ano passado, por Beto Richa, para exercer, em comissão, a função de assessora da Governadoria. Desembargadores são juízes que têm assento em Tribunal de Justiça ou de Apelação.O caso foi revelado pelo site O Antagonista e confirmado pela reportagem. Beto Richa é alvo de uma investigação sobre suposto repasse de R$ 2,5 milhões da Odebrecht ao ex-governador. Em nota, Richa afirmou que ""a ilação sobre qualquer motivação estranha na decisão da Justiça Eleitoral de manter em sua jurisdição"" a investigação contra ele ""é de um desrespeito flagrante ao Poder Judiciário"".""Se esse parâmetro fosse determinante, todos os familiares de pessoas com cargos em comissão nomeados em todas as administrações públicas seriam suspeitos"", afirmou.Camila Penteado se filiou ao PSDB em 2 de outubro de 2003. Na última segunda-feira (30), seu pai atendeu um pedido do tucano e pôs sob fiscalização da Justiça Federal, o inquérito contra o ex-governador e pré-candidato ao Senado. ""Defiro o pedido liminar para o fim de determinar o prosseguimento da presente investigação policial sob fiscalização da 177ª Zona Eleitoral de Curitiba"", ordenou o desembargador.A investigação apura se o pré-candidato ao Senado Beto Richa cometeu crimes no processo de licitação para duplicação da PR-323. O caso investiga suposto favorecimento à Odebrecht em troca de dinheiro para a campanha de reeleição do tucano ao governo, em 2014.Em junho, o processo foi enviado à Justiça Eleitoral por Moro, por determinação da Corte Especial do Superior Tribunal de Justiça (STJ), que acolheu pedido da defesa de Richa. O processo de investigação corria na corte, mas foi para a primeira instância depois que o tucano renunciou ao cargo de governador, em abril, para disputar as eleições.Ao remeter o inquérito, Moro pediu que a Vara Eleitoral devolvesse ""os autos oportunamente para o prosseguimento das investigações por crime de corrupção, lavagem e fraude à licitação"".A juíza eleitoral Mayra Rocco Stainsack retornou o processo a Sérgio Moro na semana passada. No dia 26 de julho, o vice-presidente do Superior Tribunal de Justiça, Humberto Martins, manteve nas mãos do juiz Sérgio Moro a investigação, negando uma reclamação do tucano contra a decisão de Mayra Rocco, da 117ª Vara Eleitoral do Paraná.Após a decisão da magistrada, Beto Richa entrou com um recurso. O tucano alegou que ""os delitos investigados pela Justiça Eleitoral e aqueles apurados pela Justiça Federal Comum são autônomos, não havendo, portanto, conexão entre eles"".Ao Tribunal Regional Eleitoral, o tucano reclamou também de cerceamento de defesa ""em virtude da ausência de acesso aos autos da investigação policial"". Richa argumentou ainda que a ""competência para processamento do presente inquérito policial é exclusivamente da Justiça Eleitoral, na medida em que não há qualquer indício da prática de delito comum a ensejar a remessa dos autos para a Justiça Federal Comum"".De acordo com o ex-governador, ""a remessa da investigação para instância absolutamente incompetente eivará de nulidade a apuração dos fatos"".Na decisão, o desembargador afirmou que ""a possibilidade de lesão se faz presente e é evidente na medida em que se trata de investigação criminal em curso, na qual deve-se buscar a estrita observância das regras constitucionais e processuais"".""Esclareço que o e. STJ, em sede de agravo regimental, acolheu o pedido de remessa do presente inquérito policial apenas para a Justiça Eleitoral de primeiro grau no Estado do Paraná, consignando que, neste momento da investigação, não existem, em tese, elementos objetivos de conexão entre os supostos crimes eleitorais cometidos pelo investigado e eventuais delitos de competência da Justiça Comum que justifiquem o encaminhamento destes autos também à 13ª Vara Federal de Curitiba, cabendo à Justiça Eleitoral dar, inicialmente, continuidade às investigações em curso"", afirmou Luiz Fernando Wowk Penteado.""A concessão do presente efeito suspensivo não obsta, de nenhuma forma, que com o prosseguimento das investigações haja, futuramente, caso se demonstre necessário, o encaminhamento das investigações policiais também à Justiça Comum.""<strong>Leia a nota divulgada por Beto Richa sobre o episódio:</strong>""A ilação sobre qualquer motivação estranha na decisão da Justiça Eleitoral de manter em sua jurisdição o caso envolvendo o ex-governador Beto Richa em suposto recebimento de valores não contabilizados na campanha de 2014 é de um desrespeito flagrante ao Poder Judiciário. Se esse parâmetro fosse determinante, todos os familiares de pessoas com cargos em comissão nomeados em todas as administrações públicas seriam suspeitos. O caso alegado envolve uma profissional com formação específica para a área ambiental, que desempenha função técnica em parque de preservação ambiental na cidade de Prudentópolis. Ilegal seria descumprir a decisão unânime da Corte Especial do Superior Tribunal de Justiça. Mais ilegal ainda seria encaminhar para a 13.a Vara Federal, exclusiva para julgar atos envolvendo a Petrobras, o caso de uma rodovia estadual. Ou seja, se ainda houvesse suspeita de irregularidade, o caso seria de competência estadual. E vale lembrar ainda aos deformadores de informações: não foi gasto sequer um centavo de recurso federal ou Estadual nessa rodovia. Portanto, nunca houve contrapartida para o suposto caixa 2.Vale ressaltar que desembargador não retirou das mãos de Sérgio Moro o inquérito do ex-governador. Simplesmente deu cumprimento integral ao que foi decidido, à unanimidade, pelo STJ, no Agravo Regimental interposto no Inquérito 1181.Quem descumpriu a decisão do STJ foi a Juíza Eleitoral, que ao invés de promover a investigação dos fatos, como ordenado pela Corte Superior, se limitou, em poucos minutos, sem sequer fundamentar sua decisão, a declinar de sua competência, direcionando-a diretamente para a 13a Vara Federal. Ao assim agir, desprezou não apenas a ordem do STJ, como também o Código de Processo Penal, que exige prévia distribuição, mediante sorteio, entre as 4 Varas Federais Criminais, que possuem competência concorrente, como determina a Resolução n. 96/2015, editada pelo TRF4.Uma singela linha de investigação demonstrará que a duplicação da Rodovia PR 323 jamais foi executada; que nunca houve repasse de recursos públicos federais ou estaduais para a Odebrecht, em toda a gestão do governador Beto Richa; que o edital de licitação para a obra da PR 323 foi questionado pela empresa CONTERN, perante a Justiça Estadual, que rejeitou o Mandado de Segurança impetrado.Necessário apontar que o ônus de provar a suposta 'doação eleitoral, via caixa 2, pela Odebrecht', não cabe ao ex-governador, mas, sim, ao delator, criminoso confesso, que, buscando se livrar da pena a que certamente será condenado pelos crimes praticados, mente descaradamente, em total desrespeito ao Poder Judiciário"".A reportagem está tentando contato com Camila Penteado e com o desembargador Luiz Fernando Penteado. O espaço está aberto para as manifestações.",Filha de juiz que tirou inquérito de Moro contra Richa tem cargo no governo do PR,"{pr, psdb}"
0,"Dos que compareceram à Casa, somente o deputado Flavinho (PSC-SP) participou desde o início do único evento agendado no dia",0,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641411-na-volta-do-recesso-so-oito-dos-513-deputados-marcam-presenca-na-camara.html,"Apenas oito dos 513 deputados federais marcaram presença na Câmara até às 11h30min desta quarta-feira (1), na volta do recesso. Dos que compareceram à Casa, somente um participou desde o início do único evento agendado no dia. O deputado Flavinho (PSC-SP), que tem eleitorado na região do Vale do Paraíba, em São Paulo, onde fica a sede da Embraer, presidiu reunião convocada por ele para debater a situação da empresa.O parlamentar criticou a ausência dos colegas. ""Eles estão mais preocupados com as eleições"", lamentou. A deputada Jô Moraes (PCdoB-MG) também compareceu ao evento, após seu início. O presidente da Câmara, deputado Rodrigo Maia (DEM-RJ), está no Rio de Janeiro, sem compromissos oficiais, e só deve retornar a Brasília na quinta-feira (2). Dois convidados compareceram, o economista Paulo Kliass e o diretor do Sindicato dos Metalúrgicos de São José dos Campos, Herbert Claros da Silva. O presidente da Embraer, Paulo César de Souza e Silva, foi convidado, mas não compareceu.Até a conclusão dos trabalhos deste ano, os deputados ainda têm questões importantes para discutir, como a votação do cadastro positivo e a situação do deputado Paulo Maluf (PP-SP).O presidente da casa, Rodrigo Maia, agendou para o dia 7 de agosto uma reunião da Mesa Diretora para tratar sobre a cassação do deputado, que teve sua prisão decretada em dezembro do ano passado e hoje cumpre prisão domiciliar. Maluf foi condenado pelo Supremo Tribunal Federal (STF) a uma pena de 7 anos, 9 meses e 10 dias pelo crime de lavagem de dinheiro desviado durante a sua gestão como prefeito de São Paulo.","Na volta do recesso, só oito dos 513 deputados marcam presença na Câmara","{pp, df, psc, sp, mg, pcdob, pb, dem, rj}"
0,Os 147.302.354 eleitores estão distribuídos pelos 5.550 municípios em 171 localidades de 110 países,contabilidade_eleitoral___credito_elza_fiuza_abr-8374344.jpg,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641410-brasil-tem-aumento-de-3-14-de-eleitores-em-2018-divulga-tse.html,"O eleitorado brasileiro aumentou 3,14% nos últimos quatro anos, saltando de 142.822.046 votantes, em 2014, para 147.302.354 eleitores, divulgou hoje (1) o Tribunal Superior Eleitoral (TSE). Os eleitores estão distribuídos pelos 5.550 municípios e em 171 localidades de 110 países.Há ainda 1.409.774 eleitores que não poderão votar nem se candidatar este ano, por estarem com os direitos políticos suspensos, segundo o tribunal.De acordo com o perfil do eleitorado brasileiro para as eleições gerais 2018, houve crescimento expressivo dos eleitores no exterior nos últimos quatro anos, passando de 354.184 para 500.727 eleitores, aumento de 41,37%.","Brasil tem aumento de 3,14% no número de votantes em relação a 2014, divulga TSE",{}
0,"Candidato do PSL tem 20% das intenções de voto, seguido por Ciro Gomes, do PDT, com 13%",candidatos_presidente_br_pesquisa_01082018-8421219.jpg,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641404-bolsonaro-lidera-pesquisa-datapoder360-mas-tem-65-de-rejeicao.html,"O candidato do PSL à Presidência, Jair Bolsonaro, segue na liderança pela disputa ao Planalto em cenário em que o ex-presidente Luiz Inácio Lula da Silva (PT) não é apresentado como candidato. A pesquisa DataPoder360, divulgada nesta quarta-feira (1), mostra Bolsonaro com 20% das intenções de voto. A rejeição ao candidato, no entanto, é de 65%. Todos os candidatos ficaram com rejeição acima de 50%.Atrás de Bolsonaro, o candidato do PDT, Ciro Gomes, se manteve na faixa de 13% das intenções de voto, mesma taxa registrada em junho. Em seguida, Geraldo Alckmin, candidato do PSDB, vem com 9% das intenções de voto. Marina Silva, da Rede, ficou com 6% das inteções. Haddad, do PT, tem 5% e Alvaro Dias, do Podemos, aparece com 4%.A pesquisa testou apenas um cenário de candidatos, com 6 nomes, e não foram testados cenários de 2º turno. A margem de erro do levantamento é de 2,2 pontos percentuais, para mais ou para menos.Na comparação por rejeição, Bolsonaro está empatado dentro da margem de erro com Alckmin. O candidato tucano tem 62% rejeição. Na sequência, aparecem na lista Marina e Ciro (com 60% cada), e Haddad, com 57%. Nesta lista, foram incluídos mais dois petitas: ex-presidente Lula (60%) e o Jaques Wagner (55%).A pesquisa também indica uma alta taxa de ""não voto"", com 43% dos pesquisados dizendo que vão escolher branco, nulo, nenhum candidato ou que ainda estão indecisos.O levantamento do DataPoder360, divisão de pesquisas do portal Poder360, realizou 3.000 entrevistas por meio de telefones fixos e celulares de 25 a 28 de julho, em 182 cidades de todas as regiões do país. A margem de erro é de 2,2 pontos percentuais, para mais ou para menos. O registro do estudo no TSE (Tribunal Superior Eleitoral) é BR-09828/2018.","Bolsonaro lidera pesquisa DataPoder360, mas tem 65% de rejeição","{psdb, psl, pt, pode, pdt, rede}"
0,"Segundo Jorge Rachid, a renúncia de receitas deve chegar a cerca de R$ 270 bilhões em 2018",F_0001321428.JPG,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641399-receita-volta-a-defender-revisao-de-beneficios-fiscais.html,"O secretário da Receita Federal, Jorge Rachid, voltou a destacar nesta quarta-feira (1) a grande quantidade de desonerações fiscais concedidas no Brasil. Segundo ele, somente neste ano, a renúncia de receitas deve chegar a cerca de R$ 270 bilhões. ""Todos os países do mundo adotam benefícios fiscais, que são instrumentos legítimos, mas, no Brasil, houve uma utilização exagerada desse recurso"", afirmou, em entrevista à Rádio Gaúcha.Rachid criticou a expansão do Simples Nacional, que já abarca mais de 3 milhões de firmas, ou 74% das empresas que atuam no País. ""Em outros países, modelos como o Simples são limitados a cinco anos para cada empresa. A partir daí elas devem partir para outro patamar"", afirmou.O secretário da Receita novamente defendeu que haja uma avaliação da eficácia desses benefícios fiscais, com metas e a criação de órgãos responsáveis por fiscalizá-los. Rachid citou também mudanças legislativas que buscam limitar os prazos de todos os benefícios fiscais em vigor. ""Essa é uma conta paga por todos os contribuintes"", lembrou. ""É preciso garantir que isso não se transforme apenas em margem de lucro"", completou.Para pessoas físicas, Rachid defendeu uma tributação mais focada na renda e menos no consumo. Ele avaliou ainda que a faixa de isenção do Imposto de Renda já seria elevada, se comparada com outros países. ""Precisamos equilibrar a tributação. Hoje um trabalhador assalariado paga proporcionalmente mais impostos do que outras categorias, como o Simples Nacional"", concluiu.",Receita volta a defender revisão de benefícios fiscais,{}
0,O fim do período de recesso será marcado pelos últimos 40 dias do mandato da  ministra Cármen Lúcia,ministra_carmen_lucia_preside_sessao_plenaria_do_stf___foto_rosinei_coutinho_sco_stf-1729420.jpg,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641391-supremo-volta-aos-trabalhos-e-tera-julgamentos-sobre-questoes-sociais.html,"O Supremo Tribunal Federal (STF) retoma nesta quarta-feira (1) os trabalhos do segundo semestre de 2018. O fim do período de recesso na Corte será marcado pelos últimos 40 dias do mandato da presidente, ministra Cármen Lúcia, que deixará o cargo após dois anos comandando o STF no cargo. A partir de 12 de setembro, o ministro Dias Toffoli será o novo presidente até 2020.Para encerrar sua gestão, Cármen Lúcia colocou em julgamento processos com relevância social, como:No dia 15 de agosto, o plenário voltará a analisar a questão da mudança de registro civil para transexuais. Em março, o STF reconheceu o direito em uma ação protocolada pela Procuradoria-Geral da República (PGR), mas o desfecho do processo - que tinha começado a ser julgado e teria validade para um caso específico - foi adiado por um pedido de vista do ministro Marco Aurélio.Nesta quarta-feira (1), o STF voltará a debater a idade mínima em que crianças podem ser matriculadas no ensino fundamental nas escolas públicas e particulares. Os ministros julgarão duas ações, uma da Procuradoria Geral da República e outra do estado do Mato Grosso do Sul, contra resoluções editadas pelo Conselho Nacional de Educação (CNE), em 2010.As normas definiram que a matrícula no primeiro ano do ensino fundamental só pode feita se a criança tiver completado 6 anos de idade até 31 de março do ano da matrícula. Dessa forma, se ainda tiver 5 anos, a criança deve continuar na educação infantil até completar o critério.Também sobre educação, no dia 30 de agosto, o STF deve julgar uma ação que trata da possibilidade de pais se recusarem a matricular seus filhos em escolas públicas ou privadas tradicionais e educá-los em casa. A prática, conhecida como homeschooling, não tem previsão na legislação.Nos processos envolvendo a Operação Lava Jato, o julgamento mais aguardado é o do recurso no qual o ex-presidente Luiz Inácio Lula da Silva pretende ganhar liberdade. O caso pode ser julgado após o recesso, mas a data ainda não foi definida por Cármen Lúcia, responsável pela elaboração da pauta de julgamentos.  Na próxima sexta-feira (3), o STF iniciará a audiência pública convocada para discutir a descriminalização do aborto. Os debates deverão auxiliar a ministra Rosa Weber na elaboração de seu voto sobre a questão, que ainda não tem data para ser julgada. Rosa Weber é relatora de uma ação protocolada no ano passado, na qual o PSOL questiona a constitucionalidade de artigos do Código Penal que preveem pena de prisão para mulheres que cometem aborto nos casos não autorizados por lei. Atualmente, o aborto só é permitido em caso de estupro, fetos anencefálicos ou para salvar a vida da gestante.",Supremo volta aos trabalhos e terá julgamentos sobre questões sociais,"{mt, psol, ms}"
0,O Acredito reúne cerca de 2.000 jovens em 14 estados e lançou 24 candidatos que entram na campanha eleitoral para renovar práticas políticas,0,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641387-movimento-de-jovens-quer-renovar-representacao-no-congresso.html,"Na contramão de uma tendência de manutenção da atual composição política, o movimento Acredito quer injetar ideias e caras novas no Congresso Nacional. Resultado da união de movimentos surgidos a partir das manifestações de rua de 2013, o Acredito reúne cerca de 2.000 jovens em 14 estados e lançou 24 candidatos a senador, deputado federal, estadual e distrital em 12 unidades da Federação, por nove diferentes partidos. Entram na campanha eleitoral com a ordem de renovar as práticas políticas.Segundo o coordenador nacional do Acredito, Samuel Emílio Melo, que não disputará as eleições de outubro, a renovação começa na escolha dos candidatos, por eles chamados de líderes cívicos. ""Os candidatos Foram escolhidos em um processo seletivo"", contou. Entre as regras: não ter sido eleito anteriormente, não pertencer a família de políticos e estar afinado com os valores do movimento, como o respeito à diversidade. Entre os escolhidos, um terço de mulheres e outro um terço de negros.De um lado, os candidatos se comprometeram com um teto de gastos na campanha diferente do estabelecido pelo Tribunal Superior Eleitoral (TSE). Eles poderão aplicar no máximo a metade do limite legal para o cargo disputado. Ou seja, a campanha de um candidato do Acredito para deputado estadual ou distrital não poderá custar mais do que R$ 500 mil.Além disso, um mesmo doador só poderá contribuir com até 20% do teto da campanha. No caso de candidatura a deputado estadual ou distrital, R$ 100 mil. O movimento se comprometeu também a plantar árvores para reduzir o impacto da campanha eleitoral no meio ambiente.Do outro lado, o Acredito está articulando com os partidos políticos a liberação de seus candidatos, caso eleitos, do cumprimento de compromissos partidários que não estejam em sintonia com os princípios do movimento. A carta compromisso de independência partidária, segundo Melo, já foi assinada pela maioria dos nove partidos que terão candidatos do Acredito (Rede, PPS, PV, PDT, PSB, PSOL, Pode, PHS e Pros). Para formular suas propostas e orientar a atuação de seus integrantes, o movimento está se valendo da consultoria das equipes do ex-presidente Barak Obama e do presidente Emmanuel Macron, além do apoio de especialistas brasileiros como Caio Calegari, Cláudia Costin, Guilherme Lichand, Carolina Ricardo, Samira Bueno, Luís Francisco Segantin, Luciano Sobral, Danilo Limoeiro e Cleuza Repulho. ""Mais do que a renovação de pessoas, queremos renovar ideias e práticas"", afirmou Melo.Candidato a deputado federal pela Rede, Zé Frederico (GO), reconhece que o movimento terá dificuldades eleitorais, mas destaca que o projeto é para uma década. ""Estamos lutando contra uma muralha. O que é uma vitória neste ano? É fazermos uma campanha limpa, de baixo custo e transparente"", afirmou.O grupo, segundo Zé Frederico, quer mostrar que os votos em branco, nulos e as abstenções não representam necessariamente uma apatia do eleitorado brasileiro, mas também a falta de alternativa. ""Pretendemos ser uma alternativa, com propostas para construirmos um Brasil mais justo, desenvolvido e ético"", argumentou.Para ele, as manifestações de 2013 deixaram claro que o brasileiro não se sente representado pelos parlamentares nem pelos governantes. ""Vamos lutar contra todos os privilégios. Ou seja, não reconheceremos nada que os políticos recebam que o trabalhador não tenha direito"", disse, citando os auxílios-moradia e vestuário, além de regras especiais para aposentadoria.",Movimento de jovens quer renovar representação no Congresso,"{ac, pv, psb, pdt, pros, go, rede, phs, psol, es}"
0,Um dos pontos seria a exposição de grávidas e lactantes a ambientes insalubres em caso de ausência de laudo médico,pol_marina_silva__3_-8351960.jpg,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641384-marina-diz-que-vai-mudar-pontos-draconianos-da-reforma-trabalhista.html,"A pré-candidata da Rede à Presidência da República, Marina Silva, disse, em entrevista ao programa Central das Eleições, da GloboNews, que não vai revogar a reforma trabalhista, mas vai corrigir ""pontos draconianos"" da legislação.Entre eles, Marina citou a exposição de grávidas e lactantes a ambientes insalubres em caso de ausência de laudo médico e o ponto que diz que os custos de uma ação trabalhista serão pagos por quem perder o processo, o que, segundo ela, tem desestimulado os trabalhadores a entrarem na Justiça contra as empresas.A pré-candidata criticou a reforma aprovada pelo governo Michel Temer porque, segundo ela, foi feita às pressas e sem discussão e, no fim, criou insegurança jurídica. Marina disse que manteria o fim do imposto sindical, mas que é preciso definir como os sindicatos vão existir e com que forma de contribuição.Sobre a reforma da Previdência, a ex-ministra do Meio Ambiente evitou expor suas opiniões. Ela foi instada a falar sobre a idade mínima, mas disse apenas que propõe o debate sobre o assunto. ""A minha opinião é de que devemos fazer o debate. Em relação à idade dos homens e mulheres, quero debater com os especialistas."" Ela completou que os privilégios da aposentadoria dos militares têm de ser encarados.Sobre a aliança entre Rede e Podemos no Rio, beneficiando o pré-candidato ao Governo do Estado Romário (Podemos), Marina sugeriu ter ficado pouco satisfeita. ""No Rio de Janeiro, eu queria manter a candidatura do Miro Teixeira, mas ele resolveu que iria fazer aliança com o Romário. Meu palanque vai ser do Miro. Não estou em aliança com o Romário, o palanque dele é do Álvaro Dias"", disse, negando ter um comportamento incoerente em relação as alianças.Segundo ela, o posicionamento da Rede é de autonomia dos Estados. ""Diziam que a Rede seria o partido da Marina. Não sou dona da Rede. Dou a minha opinião, se sou ouvida, ótimo, mas entendo o partido como um movimento.""",Marina diz que vai mudar 'pontos draconianos' da reforma trabalhista,"{pode, rj, rede}"
0,Maior valor para a disputa poderá vir de fundos eleitoral e partidário,0,https://www.jornaldocomercio.com/_conteudo/politica/2018/07/641291-vaquinhas-nao-rendem-1-do-teto-das-campanhas.html,"O total arrecadado pelos presidenciáveis com o financiamento coletivo é inferior a 1% do total que uma campanha pode gastar. A soma total da arrecadação virtual, disponível desde maio, foi de R$ 957.173 - número contabilizado até esta segunda-feira. O valor é uma fração ínfima do teto de gastos previsto pelo Tribunal Superior Eleitoral (TSE) para uma eleição presidencial, que é de R$ 70 milhões, acrescido de R$ 35 milhões caso haja segundo turno.Assim, na primeira eleição geral em que doações de empresas para campanhas políticas estão proibidas, o financiamento deverá ocorrer pelo dinheiro dos fundos partidário e eleitoral.Segundo analistas, a disseminação da ideia de doação entre os brasileiros ainda levará tempo. Para o diretor da Faculdade de Ciências Humanas e Sociais da Universidade Estadual Paulista Júlio de Mesquita Filho (Unesp), Murilo Gaspardo, o primeiro entrave para o modelo da ""vaquinha online"" está na cultura. Segundo ele, o brasileiro não tem o hábito de doar. Além disso, a crise político-econômica e os casos de agentes públicos envolvidos em corrupção colaboram para que os eleitores não doem.""Se às vezes a pessoa não quer nem votar, quanto mais dar dinheiro"", diz. Para ele, alguns partidos menores tendem a levar vantagem, já que estão com a imagem menos desgastada do que as grandes siglas.Isso pode explicar o sucesso da arrecadação de Marina Silva. A vaquinha on-line da pré-candidata da Rede começou no domingo e, em apenas cinco dias, foi capaz de ultrapassar a meta inicial de R$ 100 mil em doações. No total, já são R$ 158.553 graças à contribuição de 1.259 pessoas.Outra vantagem está na identidade ideológica da Rede, capaz de atrair mais simpatizantes dispostos a fazer uma doação, explica o coordenador do curso de especialização em marketing político da Universidade Metodista de São Paulo, Kleber Carrilho. ""Só doa quem enxerga identificação programática ou partidária em uma campanha. Na Rede, isso ocorre graças ao apelo da sustentabilidade, deixando o partido mais próximo da sociedade.""Essa mesma relação pode ser observada com o PT, com o PSOL e PSTU, aponta o professor. ""No caso do PT, é uma sigla que perdeu seu poder nos últimos anos com a Lava Jato e teve importantes quadros condenados, mas foi capaz de retomar certo prestígio com a narrativa do Lula Livre"", avalia.Mesmo condenado e preso na Lava Jato, o ex-presidente Luiz Inácio Lula da Silva (PT) é o campeão das vaquinhas virtuais até agora. São R$ 440.819 arrecadados, vindos de 4.657 doadores.Atrás dele está João Amoêdo (Novo), que recebeu R$ 265.086 de seus 2.059 doadores, seguido de Marina. Guilherme Boulos (PSOL) conseguiu 214 doações, que totalizam R$ 28.450, enquanto Manuela d'Ávila (PCdoB) tem R$ 43.931,65. Entre todos os pré-candidatos com sistema de doação on-line, Ciro Gomes (PDT) e Jair Bolsonaro (PSL) são os únicos que não divulgam o total arrecadado. Geraldo Alckmin (PSDB) e Henrique Meirelles (MDB) não lançaram plataformas de arrecadação on-line.",'Vaquinhas' não rendem 1% do teto das campanhas,"{psdb, ac, sp, pt, pstu, mdb, pdt, psl, pcdob, rede, psol}"
