,titulos,links,noticia,image,abstract
0,Bolsonaro rejeita avaliação de que esteja politicamente isolado,https://www.jornaldocomercio.com/_conteudo/politica/2018/07/639889-bolsonaro-rejeita-avaliacao-de-que-esteja-politicamente-isolado.html,"O pré-candidato do PSL ao Planalto, Jair Bolsonaro, reclamou na tarde desta segunda-feira (23) das avaliações de que está politicamente isolado. Em palestra promovida pelo Clube da Aeronáutica, no Rio, ele acusou ainda plataformas de relacionamentos na internet de tentar ""censurar"" sua campanha.""Eles sabem que estamos dando dor de cabeça. Buscam de toda forma nos tirar de combate"", afirmou. ""Sou imbroxável"", ressaltou, para risos da plateia. ""Estou numa briga de poder.""Bolsonaro disse que ainda espera a resposta da professora de direito Janaína Paschoal, filiada ao PSL. Sobre a decisão de Janaína de exigir tempo para avaliar o convite, ele disse que não quer ""cordeirinho"" e fez elogios à autora do pedido de impeachment da presidente Dilma Rousseff. Citou ainda o senador Magno Malta (PR-ES) e general Augusto Heleno Ribeiro, filiado ao PRP, que chegaram a ter seus nomes cogitados como candidatos a vice.""Eu não estou isolado. O Magno está comigo. O Heleno está comigo e a Janaína estará de qualquer maneira. Então, tenho três vices. Isso não é isolamento.""Ao falar sobre política econômica, voltou a dizer que não entende da área e avaliou que os economistas, no entanto, sabem e ""quebraram"" o País. Aproveitou para atacar especialmente o pré-candidato do MDB. Ele disse que Henrique Meirelles, nos oito anos em que comandou o Banco Central, no governo Lula, foi ""um dos responsáveis pela desgraça do Brasil, economicamente falando"".",742382_01_02-8412203.jpg,"Ele acusou ainda plataformas de relacionamentos na internet de tentar ""censurar"" sua campanha"
0,Marina: 'O condomínio do Alckmin agora é o condomínio que era da Dilma em 2014',https://www.jornaldocomercio.com/_conteudo/politica/2018/07/639840-marina--o-condominio-do-alckmin-agora-e-o-condominio-que-era-da-dilma-em-2014.html,"A pré-candidata da Rede, Marina Silva, atacou nesta segunda-feira, 23, mais uma vez o ""Centrão"", que fechou com o tucano Geraldo Alckmin, na semana passada. ""O condomínio do Alckmin é agora o condomínio que era da Dilma em 2014"", disse Marina, em um evento com cerca de 30 filiados da Rede Sustentabilidade em Piracicaba. Há dez dias, a presidenciável chamou o Centrão de ""atravessador de sonhos"".Com o bloco de partidos do DEM, PRB, Solidariedade e PP, o ex-governador de São Paulo terá grande parte da fatia da propaganda de rádio e TV nas eleições. A ex-ministra do Meio Ambiente lembrou ainda que, em 2014, Dilma tinha cerca de 2 minutos a mais que Alckmin deve ter hoje, mas que a propaganda eleitoral na época durava 30 minutos e hoje apenas 20.""Fizeram (os partidos do Centrão) um serviço junto com a Dilma e o Temer e agora já encontraram um novo condomínio para chamar de seu"", concluiu Marina.Depois de perder o eventual apoio do Centrão, aliados de Ciro Gomes (PDT) o teriam aconselhado a procurar a ex-senadora, segundo noticiou a coluna Painel neste fim de semana. Questionada sobre a aproximação, a pré-candidata disse que a relação entre os dois é de ""respeito e diálogo"" e lembrou que fizeram ""um excelente trabalho juntos"" na gestão de Lula - ela no Meio Ambiente e ele, ministro do Trabalho.""Não tem porque não conversar hoje. Temos conversado. O que não significa que alguém tenha que desistir dos seus projetos. O que nós temos é a disposição de ter respeito. Pelo menos a forma como cada um quer contribuir nesse primeiro turno"", disse a presidenciável.<strong>Alianças</strong>A menos de duas semanas da convenção nacional que confirmará seu nome na disputa, Marina ainda não confirmou nenhum partido em sua coligação. Quando questionada, ela lembrou que ainda há tempo até o registro das candidaturas no TSE e que portanto ainda está negociando. Voltou a repetir um bordão, para caso não haja mais legendas dispostas a embarcar na sua candidatura: ""Temos excelente prata da casa, ouro da casa"".Os nomes do deputado federal Miro Teixeira (RJ) e do ex-presidente do Flamengo Bandeira de Mello têm sido cotados para compor chapa.",pol_marina_silva_687363_01_02-8397374.jpg,"Pré-candidata criticou ""Centrão"" em evento em Piracicaba"
0,Paulo Skaf terá tenente-coronel da PM como candidata a vice em SP,https://www.jornaldocomercio.com/_conteudo/politica/2018/07/639818-paulo-skaf-tera-tenente-coronel-da-pm-como-candidata-a-vice-em-sp.html,"A pré-campanha de Paulo Skaf (MDB), presidente licenciado da Federação das Indústrias do Estado de São Paulo (Fiesp), definiu a tenente-coronel da PM de SP Carla Danielle Basson como candidata a vice-governadora.A policial comanda desde maio o 11º batalhão da PM no Interior Paulista, responsável pelo patrulhamento de Jundiaí, Itupeva e região. Ela se licenciará do cargo para se filiar ao MDB e disputar as eleições. A informação foi antecipada pelo Valor e confirmada pelo jornal O Estado de S. Paulo.",F_0001234394.JPG,Skaf é presidente licenciado da Fiesp e concorre ao governo de São Paulo pelo MDB
0,PT conversa com Manuela D'Ávila e quer negociar com PROS e PSB até quinta-feira,https://www.jornaldocomercio.com/_conteudo/politica/2018/07/639807-pt-conversa-com-manuela-d-avila-e-quer-negociar-com-pros-e-psb-ate-quinta-feira.html,"Na busca por alianças eleitorais para as eleições 2018, o PT faz novos movimentos nesta semana em direção ao PCdoB, PROS e PSB. Nesta segunda-feira, 23, o vice-presidente nacional do PT, Márcio Macedo, conversou em Aracaju com a pré-candidata do PCdoB à Presidência da República, Manuela D'Ávila, e fez novo apelo para uma composição.""Conversamos sobre a importância de termos uma ação conjunta, se a gente consegue construir a unidade. Nós respeitamos a candidatura do PCdoB, vamos aguardar"", disse Macedo ao Estadão. Uma conversa sobre a escolha de vice em uma chapa do ex-presidente Luiz Inácio Lula da Silva, preso e condenado na Operação Lava Jato, ficará para mais tarde, afirmou o dirigente.Na terça-feira (24) integrantes da Executiva Nacional devem se reunir com o presidente nacional do PROS, Euripedes Junior, em Brasília, para uma nova rodada de negociação.Até quinta-feira (26) os petistas querem realizar um novo encontro com o presidente do PSB, Carlos Siqueira, e insistir em uma aliança com a legenda, que considera apoiar o presidenciável do PDT, Ciro Gomes.",000_14h29x-1807444.jpg,Os petistas querem realizar um novo encontro com o presidente do PSB
0,Justiça Eleitoral devolve para Moro inquérito sobre Beto Richa,https://www.jornaldocomercio.com/_conteudo/politica/2018/07/639796-justica-eleitoral-devolve-para-moro-inquerito-sobre-beto-richa.html,"A Justiça Eleitoral devolveu ao juiz Sergio Moro inquérito que investiga suposto pagamento de propina ao ex-governador do Paraná e pré-candidato ao Senado Beto Richa (PSDB), envolvendo a duplicação da PR-323.A informação foi revelada pelo G1 e confirmada pela Folhade S.Paulo com a assessoria de imprensa do tucano. O inquérito está sob sigilo.No final de junho, obedecendo determinação do STJ (Superior Tribunal de Justiça), Moro encaminhou o inquérito para a Justiça Eleitoral. Ainda assim, em sua decisão, o magistrado defendeu a competência da Justiça Federal para tratar do caso, ressaltando que não se tratava de ""mero caixa dois"".Segundo delatores da Odebrecht, foi autorizado o repasse de R$ 4 milhões para o governo Richa, em 2014, em troca do favorecimento da empreiteira em licitação para duplicação da PR-323.De acordo com laudo da PF (Polícia Federal), os sistemas de contabilidade paralela da Odebrecht indicam pagamentos de R$ 3,5 milhões atrelados ao centro de custo da obra da PR-323. Outros arquivos, de acordo com a polícia, fazem referências a Beto Richa.Além disso, o MPF (Ministério Público Federal) informou que Nelson Leal Júnior, ex-diretor do Departamento de Estradas e Rodagens do Estado do Paraná, confirmou em colaboração premiada a prática de corrupção, com direcionamento da licitação para a empreiteira, mediante o pagamento de propina.Em nota, a defesa de Richa afirmou que já apresentou recurso ao Tribunal Regional Eleitoral por entender que a decisão do STJ está sendo descumprida. O ex-governador tem negado todas as acusações.",F_0001199320.JPG,Moro investiga suposto pagamento de propina ao ex-governador do Paraná
0,Partidos questionam no Supremo veto a showmícios na campanha eleitoral,https://www.jornaldocomercio.com/_conteudo/politica/2018/07/639783-partidos-questionam-no-supremo-veto-a-showmicios-na-campanha-eleitoral.html,"Três partidos políticos - PSB, PSOL e PT - ajuizaram no Supremo Tribunal Federal (STF) a Ação Direta de Inconstitucionalidade (ADI) 5970 contra regra da legislação eleitoral que trata da realização de eventos de arrecadação de recursos e da proibição de showmícios por candidatos em eleições. O relator é o ministro Luiz Fux, informou texto divulgado no site da Corte - Processo relacionado: ADI 5970.O artigo 39, parágrafo 7.º, da Lei 9.504/1999, acrescentado pela Lei 11.300/2006, proíbe ""a realização de showmício e de evento assemelhado para promoção de candidatos"" e a apresentação, ""remunerada ou não"", de artistas para animar comícios e reuniões eleitorais.Os partidos pretendem que seja declarada a inconstitucionalidade parcial do dispositivo quando as apresentações forem gratuitas, sem cobrança de cachê, mediante a supressão da expressão ""ou não"" do texto legislativo.O segundo ponto em discussão é o artigo 23, parágrafo 4.º, inciso V, que dispõe que as doações poderão ser efetuadas por meio de ""promoção de eventos de arrecadação realizados diretamente pelo candidato ou pelo partido político"".O objetivo da ação aqui é o reconhecimento de que o dispositivo não pode ser interpretado de modo a vedar a realização de eventos artísticos, inclusive shows musicais. ""Diante da postura por vezes censória da Justiça Eleitoral, existe o elevado risco de que se adote a compreensão de que tal preceito não abrange a realização de espetáculos artísticos, em razão da vedação aos showmícios e à apresentação de artistas para animar eventos eleitorais"", sustentam os partidos.Segundo as agremiações, tanto a proibição dos showmícios não remunerados quanto a vedação de eventos artísticos de arrecadação eleitoral são incompatíveis com a garantia constitucional da liberdade de expressão. ""A primeira medida ofende, ainda, o princípio da proporcionalidade, enquanto a segunda também viola a isonomia e o imperativo constitucional de valorização da cultura"", afirmam.Os partidos destacam que tanto a atividade artística como as manifestações de natureza política compõem o núcleo essencial da liberdade de expressão. ""Música não é apenas entretenimento, mas também um legítimo e importante instrumento para manifestações de teor político"", sustentam. ""Não é legítima a pretensão legislativa de converter o embate político-eleitoral numa esfera árida, circunscrita à troca fria de argumentos racionais entre os candidatos, partidos e seus apoiadores, sem espaço para a emoção e para a arte"".O relator, Fux, aplicou à ADI o rito abreviado previsto no artigo 12 da Lei 9.868/1999, que possibilita o julgamento do processo pelo Plenário diretamente no mérito, sem prévia análise do pedido de liminar. ""A matéria versada na presente ação direta se reveste de grande relevância, apresentando especial significado para a ordem social e a segurança jurídica"", anotou o ministro. Ele enfatizou a conveniência de que a decisão venha a ser tomada em caráter definitivo.Fux também determinou a notificação das autoridades envolvidas - presidentes da República, do Senado e da Câmara - para que prestem informações no prazo de 10 dias.Em seguida, os autos devem ser remetidos à advogada-geral da União e à procuradora-geral da República, para que se manifestem, sucessivamente, no prazo cinco de dias.",0,O objetivo da ação aqui é o reconhecimento de que o dispositivo não pode ser interpretado de modo a vedar a realização de eventos artísticos
0,PRB anuncia apoio a Eduardo Leite; Patriota se coligará com MDB,https://www.jornaldocomercio.com/_conteudo/politica/2018/07/639760-prb-anuncia-apoio-a-eduardo-leite-patriota-se-coligara-com-mdb.html,"O Partido Republicano Brasileiro (PRB) definiu, no começo da tarde desta segunda-feira (23), o candidato que vai apoiar na corrida eleitoral pelo Palácio Piratini. A sigla decidiu se juntar a PHS, PPS e PTB na coligação liderada pelo PSDB, que irá confirmar a candidatura de Eduardo Leite no dia 5 de agosto.Presidente regional do PRB, o deputado federal Carlos Gomes destacou a aprovação da gestão de Eduardo Leite em Pelotas, evidenciado, segundo ele, pela eleição em primeiro turno de sua sucessora, Paula Mascarenhas (PSDB), com quase 60% dos votos válidos. Gomes disse que a decisão foi motivada também pelo tucano ser ""um candidato jovem, mas com experiência"" e que o ainda pré-candidato ""é contra a reeleição, então ele pode pensar em um projeto para o estado sem se preocupar consigo mesmo"".Outro partido a se decidir foi o Patriota, que decidiu apoiar a chapa comandada pelo MDB, que já conta com PSB e PSD. O coordenador político do partido, Caio Flávio, afirmou que a legenda terá concorrentes a deputados federais e estaduais e reiterou o apoio do partido ao presidenciável Jair Bolsonaro (PSL). Flávio afirmou que o atual governador emedebista, José Ivo Sartori (que ainda não confirmou sua candidatura) “durante todo esse período tem demostrado ser um homem íntegro, e vem de encontro as ideias de Bolsonaro de lisura na política, fazendo frente a toda essa dificuldade de hoje”.",carlos_gomes__eduardo_leite__ranolfo_vieira_jr__e_sergio_peres-8413300.jpg,"PRB decidiu se juntar a PHS, PPS e PTB na coligação liderada pelo PSDB"
0,Janaína Paschoal diz que 'precisa de mais tempo' para decidir sobre vice,https://www.jornaldocomercio.com/_conteudo/politica/2018/07/639779-janaina-paschoal-diz-que-precisa-de-mais-tempo-para-decidir-sobre-vice.html,"A advogada e professora da USP Janaína Paschoal, cotada como possível vice na chapa à Presidência da República do deputado federal Jair Bolsonaro (PSL), reafirmou nesta segunda-feira (23), que precisa de mais tempo para decidir se aceita o convite para formalizar a parceria e disputar as eleições 2018.Janaína, que ficou conhecida nacionalmente por ser uma das autoras do pedido de impeachment contra a então presidente Dilma Rousseff, disse que discorda da frase de Josué Gomes, filho do ex-vice-presidente José de Alencar e cotado como vice do presidenciável Geraldo Alckmin (PSDB), de que um vice ""não manda nada"".""Definitivamente, não concordo com Josué de Alencar quando diz que vice não manda nada e ajuda quando não atrapalha"", disse a jurista à reportagem. No domingo, 22, ela participou da convenção nacional do PSL, que oficializou a candidatura de Bolsonaro à Presidência. Segundo ela, ficou a impressão de que Bolsonaro parece ""ser uma pessoa muito bem intencionada"".Uma das mais aplaudidas no evento, Janaína pediu moderação e tolerância em seu discurso, criticou o que chamou de pensamento único e defendeu a necessidade de pensar na governabilidade. ""Não se ganha a eleição com pensamento único. E não se governa uma nação com pensamento único"", disse Janaína na convenção.Em sua fala, também afirmou que não era preciso sair ""falando para as pessoas acreditar em Deus"", o que teria irritado pastores evangélicos apoiadores do militar. Mais tarde, na coletiva de imprensa, Jair Bolsonaro minimizou qualquer atrito com a jurista. ""Tem que ter a liberdade de se expressar. Ela tem a opinião dela. Não dá para afinar 100% o discurso"", afirmou.Janaína é o terceiro nome cotado para assumir a vice na chapa. Antes, Bolsonaro tentou o senador Magno Malta (PR-ES), que optou por tentar a reeleição ao Senado, e o general da reserva Augusto Heleno, que foi vetado pelo PRP.",F_0001312440.JPG,Janaína ficou conhecida nacionalmente por ser uma das autoras do pedido de impeachment de Dilma
0,Fachin julga improcedente ação de juízes sobre exigências para porte de armas,https://www.jornaldocomercio.com/_conteudo/politica/2018/07/639778-fachin-julga-improcedente-acao-de-juizes-sobre-exigencias-para-porte-de-armas.html,"O ministro Edson Fachin, do Supremo Tribunal Federal (STF), julgou improcedente pedido de três associações de juízes para declarar a ilegalidade da exigência de comprovação de capacidade técnica e aptidão psicológica para que magistrados possam adquirir, registrar e renovar o porte de arma de fogo.A decisão foi dada na Ação Originária (AO) 2280, ajuizada por três das mais influentes entidades da toga - Associação dos Magistrados Brasileiros (AMB), Associação Nacional dos Magistrados da Justiça do Trabalho (Anamatra) e Associação dos Juízes Federais do Brasil (Ajufe) - contra dispositivos da Instrução Normativa 23/2005 do Departamento de Polícia Federal e do Decreto 6.715/2008, que regulamenta o Estatuto do Desarmamento.A decisão foi publicada no Diário de Justiça eletrônico (DJe) do STF do dia 19 de junho e divulgada nesta segunda-feira, 23, no site da Corte - Processo relacionado AO 2280. As associações de classe sustentavam que a exigência restringiria a prerrogativa dos magistrados de portar arma para defesa pessoal, contida no artigo 33, inciso V, da Lei Orgânica da Magistratura (Loman).Segundo os magistrados, as normas da Loman só poderiam ser regulamentadas por lei complementar de iniciativa do Poder Judiciário ou por normas regimentais dos tribunais ou do Conselho Nacional de Justiça (CNJ), e não por lei ordinária.As lideranças da toga sustentavam ainda que o próprio Estatuto do Desarmamento (Lei 10.826/2003) - que é lei ordinária - não fez essa restrição, ""tendo assim as normas questionadas extrapolado os limites da legislação"". Em resposta a pedido administrativo, a Polícia Federal teria se recusado a reconhecer a prerrogativa prevista na Loman.Fachin, embora reconhecendo correta a afirmação relativa à reserva de lei complementar, assinalou que o Estatuto do Desarmamento não objetivou restringir prerrogativa dos magistrados. O ministro lembrou que o porte de arma, como regra, é proibido, somente sendo possível aos integrantes das carreiras integrantes do rol estabelecido no artigo 6.º do Estatuto do Desarmamento e daquelas cuja prerrogativa tenha sido estabelecida em lei geral editada pela União.Fachin observou, no entanto, que a Lei 10.826/2003 (parágrafo 4º do artigo 6º) só dispensa da comprovação de capacidade técnica e aptidão psicológica os integrantes das Forças Armadas, das polícias federais, estaduais e do Distrito Federal. Para a demais carreiras, explicou o ministro, a comprovação dos requisitos para manuseio de arma de fogo permanecem válidos.Para o relator, o direito ao porte não dispensa o proprietário da arma de cumprir os requisitos relativos ao registro, ""salvo nos casos em que a lei assim o definir"".No entendimento de Fachin, a lei em nada altera o direito ao porte de armas, prerrogativa inerente à carreira, garantida pela Lei Orgânica da Magistratura. ""Não há extrapolação dos limites regulamentares pelo decreto e pela instrução normativa, os quais limitaram-se a reconhecer, nos termos da própria legislação, que a carreira da magistratura submete-se às exigências administrativas disciplinadas por ela"", concluiu. ",pol_ministro_edson_fachin_foto_valter_campanato_agencia_brasil__2_-1810134.jpg,"Decisão foi dada na Ação Originária (AO) 2280, ajuizada pela AMB, Anamatra e Ajufe"
0,"'Vamos ver o que escapa para mim desse balé', diz Ciro sobre alianças",https://www.jornaldocomercio.com/_conteudo/politica/2018/07/639776-vamos-ver-o-que-escapa-para-mim-desse-bale--diz-ciro-sobre-aliancas.html,"Após ver o bloco do Centrão fechar um acordo com o ex-governador de São Paulo Geraldo Alckmin (PSDB) para a corrida presidencial, o pré-candidato à Presidência pelo PDT, Ciro Gomes, afirmou que ainda espera fechar alguma aliança com outros partidos.""Vamos ver o que escapa para mim desse balé, é muito cedo ainda. Embora esteja na cara do gol, os partidos todos praticamente decidiram que vão tomar suas deliberações no último dia"", disse o presidenciável, nesta segunda-feira (23), em entrevista à TV Record de Santa Catarina exibida pela emissora nas redes sociais.Ao falar sobre a necessidade de fazer alianças com partidos de diferentes ideologias, Ciro justificou ""aceitar esse balé"" pela necessidade de garantir governabilidade se eleito. ""Eu tenho que aceitar esse balé. Às vezes a população não entende, tem muita razão para isso. Quem quiser conversar, eu converso, porque estou olhando a eleição, mas eu tenho que olhar o dia seguinte"", disse o presidenciável, dizendo que não quer ser eleito ""ditador do Brasil"" e que um presidente é obrigado a conversar com diferentes partidos.",mcmgo_abr_2007182086-8412132.jpg,Pré-candidato pelo PDT afirmou que ainda espera fechar alguma aliança com outros partidos
