,abstract,image,links,noticia,titulos,categorias
0,O caso será examinado agora pela Subseção Judiciária de Nova Iguaçu (RJ),F_0001295382.JPG,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641715-fachin-encaminha-inquerito-de-lindbergh-farias-para-a-primeira-instancia.html,"O ministro Edson Fachin, do Supremo Tribunal Federal (STF), decidiu encaminhar para a Justiça Federal do Rio de Janeiro um inquérito instaurado no âmbito da delação da Odebrecht contra o senador Lindbergh Farias (PT-RJ). O caso será examinado agora pela Subseção Judiciária de Nova Iguaçu (RJ).O inquérito investiga as acusações de delatores da Odebrecht de que a campanha eleitoral de Lindbergh nos anos de 2008 e 2010 teria recebido um total de R$ 4,5 milhões não contabilizados por meio de pagamentos executados pelo ""departamento de propinas"" da empreiteira. Na época dos fatos, Lindbergh ocupava o cargo de prefeito do município de Nova Iguaçu.Em troca dos repasses, teriam sido oferecidas facilidades em contratos administrativos do Pró-Moradia, programa habitacional do governo federal voltado para famílias em situação de risco social.Fachin decidiu retirar o processo do STF em virtude do novo entendimento firmado pela Corte sobre o alcance do foro privilegiado para deputados federais e senadores, que só vale para os crimes cometidos no exercício do mandato e em função do cargo.""Como visto, examinam-se fatos atribuídos ao atual senador da República Luiz Lindbergh Farias Filho, supostamente praticados à época em que investido no cargo de prefeito do município de Nova Iguaçu/RJ, cenário no qual não se enquadram os requisitos de fixação da competência deste Supremo Tribunal Federal para processo e julgamento de parlamentares"", escreveu Fachin, em decisão assinada na última quarta-feira, 1.""Tal circunstância evidencia, a meu sentir, a inexistência de motivo apto a justificar o prosseguimento desta causa penal no âmbito restrito desta jurisdição especial"", concluiu o ministro.Procurada pela reportagem, a assessoria do senador não havia se manifestado até a publicação deste texto.",Fachin encaminha inquérito de Lindbergh Farias para a primeira instância,"{rj, pt}"
0,Presidenciável enalteceu capacidade de articulação política do DEM,0,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641710-com-presenca-de-alckmin-convencao-do-dem-tem-ironia-a-lula.html,"O Democratas (DEM) oficializou nesta quinta-feira (2) em convenção nacional, o apoio do partido à pré-candidatura do PSDB à Presidência, encabeçada por Geraldo Alckmin. No ato político, dirigentes do partido e o presidenciável tucano aproveitaram para ironizar o ex-presidente Luiz Inácio Lula da Silva (PT), preso e condenado no âmbito da Operação Lava Jato, mas sem fazer citações nominais ao petista. Isso porque, em 2010, Lula disse que era preciso ""extirpar o DEM da política brasileira"".""A democracia se faz do fortalecimento dos nossos partidos. O DEM é um partido que, mesmos nos piores momentos, sempre foi forte. No governo do PT, tentaram extirpar o DEM da política. Lembramos disso porque foi um ataque à democracia"", afirmou o presidente da Câmara, Rodrigo Maia (RJ), antes de enaltecer o novo momento do partido.Na sequência foi a vez de Alckmin falar aos militantes e ele também fez menção ao episódio. ""Maia tinha todas as condições de ter candidatura, mas abriu mão em uma atitude generosa. Quero destacar aspectos importantes do DEM: a coerência ideológica e a coragem"", disse Alckmin. ""Tinha um ex-presidente que dizia que queria acabar com o DEM porque não queria oposição. Achava que o poder político era propriedade privada. O DEM teve uma enorme capacidade de refundar, reformular e fortalecer o partido. É uma legenda com quadros"", emendou.Em sua vez, o presidente do DEM, ACM Neto, citou ""momentos difíceis"" que o partido enfrentou nos últimos 16 anos, mas sem mencionar o episódio. ""Nós aguardamos 16 anos por esse momento. Confesso aos colegas que eu me perguntei: será que valeu a pena? Nos mantivemos na oposição e hoje posso dizer, com toda tranquilidade, que vale a pena, sim, as decisões que tomamos e os riscos que corremos"", defendeu.Alckmin também procurou enaltecer a capacidade de articulação política do DEM, creditada a Maia, que abdicou de sua pré-candidatura em troca de ter o apoio do PSDB para se manter no comando da Câmara dos Deputados. ""Será importante e necessária a capacidade do DEM de articulação política. O DEM é um partido que o Brasil precisa, ficamos felizes de somar esforços com vocês"", disse o tucano.O presidente do DEM, ACM Neto, também foi cortejado pelo tucano. ""Quero destacar a grande competência gerencial do ACM Neto. Na crise, (ACM Neto) foi reeleito com 74% dos votos. Isso é um reconhecimento popular inédito"", disse Alckmin.ACM, por sua vez, fez críticas ao populismo, sem citar qualquer líder político, e disse que o DEM é uma ""família"". ""A partir do próximo ano, vamos viver momentos difíceis. Decisões duras precisam ser tomadas e não adiantam governos populistas. Chegamos até aqui e conseguimos construir consenso. Esse partido é muito mais do que a soma de grandes políticos, é uma família"", disse.","Com presença de Alckmin, convenção do DEM tem ironia a Lula","{psdb, dem, pt, rj}"
0,Esta é a primeira vez que Temer vai a uma convenção do partido nestas eleições,41933693480_c91047735c_o-84200332jpg,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641672-temer-chama-adversarios-de-pobres-coitados-em-convencao-do-mdb.html,"O presidente Michel Temer saiu em defesa do legado do seu governo ao De acordo com Temer, Meirelles o ajudou nos dois anos em que está à frente do comando do País e garantiu que ele dará continuidade ""às reformas de que o País ainda precisa"".Temer destacou ainda que o MDB sempre esteve à frente dos programas sociais de todos os governos desde a redemocratização. ""Estamos chamando o Meirelles para uma missão tão grandiosa como a que ele exercitou nestes dois anos de governo"", disse.Esta é a primeira vez que Temer vai a uma convenção do partido nestas eleições. Enfrentando altíssima rejeição popular, o presidente tem se eximido de aparecer ao lado dos candidatos do partido.",Temer chama adversários de 'pobres coitados' em convenção do MDB,{mdb}
0,"Mais cedo, senadora havia dito que ainda está avaliando o convite",mq110817_ana_amelia30_1609152-83813822jpg,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641669-alckmin-e-acm-neto-negam-sondagem-para-a-senadora-ana-amelia-ser-vice-em-chapa-tucana.html,"O pré-candidato do PSDB à Presidência, Geraldo Alckmin, negou nesta quinta-feira (2) que sua campanha tenha sondado a senadora gaúcha Ana Amélia (PP) para ocupar a vaga de vice em sua chapa presidencial. Envolvido nas discussões, o presidente do DEM, ACM Neto, também disse desconhecer qualquer tipo de convite para a parlamentar progressista.""Não tem nada nesse sentido"", afirmou Alckmin, quando questionado sobre as afirmações feitas pela senadora, de que teria recebido o convite. ACM Neto deu resposta parecida.""Eu desconheço (convite para Ana Amélia). A senadora é um dos nomes que estão sendo cogitados, mas eu desconheço que tenha havido qualquer sondagem a ela. Da mesma forma que a presidente do Podemos (Renata Abreu) disse que o senador Álvaro Dias (Podemos-PR) foi sondado e não é verdade. Ninguém sondou Álvaro Dias, respeitando inclusive a decisão dele de ser pré-candidato à Presidência. Não adianta vocês ficarem de patrulha porque as conversas vão acontecer por telefone"", afirmou ACM Neto.ACM Neto também contradisse as declarações do presidente da Câmara, Rodrigo Maia (DEM-RJ), que afirmou, mais cedo, que o Centrão - bloco formado por PR, PP, PRB, DEM e Solidariedade - já havia chegado a um consenso sobre o nome para ocupar esse posto.""Rodrigo (Maia) saiu dizendo que as coisas já estavam resolvidas, sendo que não estão resolvidas. É óbvio que o processo está bastante afunilado, mas a gente já tinha dito a vocês que é muito possível que até o um fim do dia de hoje teremos uma definição sobre o nome da vice ou do vice"", afirmou o presidente do DEM.Apesar disso, mais cedo, Ana Amélia havia dito que ainda está avaliando o convite. Ela contou que uma crise de hipertensão, na semana passada, a fez avaliar essa possibilidade e explicou que precisa conversar com seu médico sobre isso antes de uma decisão.",Alckmin e ACM Neto negam sondagem para a senadora Ana Amélia ser vice em chapa tucana,"{pr, psdb, pp, prb, pode, dem, rj, sd}"
0,Candidato inicia sua campanha com o desafio de romper com o isolamento político e se desgarrar da impopularidade de Michel Temer,meirr002-84227762jpg,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641667-ao-lado-de-temer-meirelles-e-oficializado-candidato-do-mdb-ao-planalto.html,"O ex-ministro da Fazenda Henrique Meirelles foi oficializado candidato do MDB ao Planalto nesta quinta-feira (2), após conquistar apoio de 85% dos convencionais do partido. Participaram da votação 419 dirigentes da sigla, ou seja, o presidenciável conseguiu pelo menos 356 votos.Meirelles enfrentava resistência de diretórios do Nordeste, principalmente em Alagoas, com Renan Calheiros, mas conseguiu angariar mais da metade dos votos para ser chancelado o nome da sigla na sucessão presidencial. Renan prometia um discurso duro contra o nome do ex-ministro, mas disse, nos bastidores, que não tinha ""plateia"" e, por isso, desistiu.Agora, o candidato inicia sua campanha com o desafio de romper com o isolamento político e se desgarrar da impopularidade de Michel Temer, que o acompanhou durante toda a convenção.Estacionado há meses com 1% das intenções de voto, Meirelles não fechou nenhuma aliança com outro partido -seu vice deve, inclusive, ser uma mulher do próprio MDB-e precisará trabalhar para não se ver abandonado pelos correligionários, assim como aconteceu com Ulysses Guimarães, em 1989, última vez em que o MDB teve candidato à Presidência da República.Caciques do MDB avaliam que o lançamento de uma candidatura própria no momento em que o partido está sozinho e contaminado pela imagem impopular de Temer servirá para buscar alguma independência, principalmente em relação ao centrão -grupo de cinco partidos que esteve na base do emedebista, porém, declarou apoio a Geraldo Alckmin (PSDB). O objetivo é evitar cair numa espécie de limbo político durante o próximo governo.Um nome como o do ex-ministro da Fazenda, explicam, mesmo com poucas chances de vitória, não atrapalha a trajetória do partido neste sentido, visto que ele tem uma biografia com poucas brechas para o ataque moral e paga do bolso sua campanha.Meirelles chegou à convenção do partido em Brasília pouco depois das 11h30, ao lado de Temer, de quem foi chefe da equipe econômica por pouco mais de dois anos. Terá, porém, que manter uma distância segura do padrinho caso queira deslanchar nas pesquisas, já que 92% das pessoas, segundo o Datafolha, dizem que não votariam em um candidato indicado pelo presidente.O roteiro traçado por Meirelles para tentar vencer esses obstáculos ao mesmo tempo em que tenta se afastar de Temer será colocado oficialmente em prática a partir desta quinta, ao reforçar a ideia de que o presidente não é o tema de sua campanha, mas sim a economia, os programas sociais e a sua biografia, com a qual se apresenta como ""resolvedor de problemas"".O candidato do MDB repetirá daqui pra frente que foi chamado por Temer para assumir o Ministério da Fazenda e tirar o Brasil da crise, mais lembrará com ainda mais entusiasmo da época em que comandou o Banco Central durante os oito anos de governo Lula (PT).Como revelou a Folha de S.Paulo, Meirelles vai lançar pelo menos dois projetos complementares ao Bolsa Família, principal bandeira dos governos do PT, para tentar avançar sobre o espólio de eleitores de Lula caso o ex-presidente seja impedido de concorrer.As citações ao petista são um dos principais pilares de sua campanha, que tenta surfar nos bons indicadores econômicos daquele período. Sua atuação no Banco Central, porém, não teve relação direta com a criação de emprego e aumento da renda, hoje motes recorrentes de seu discurso como candidato.O evento desta quinta se inspirou nas convenções americanas, no entanto, em formato mais modesto, com custo em torno de R$ 1,6 milhão.Meirelles se posicionou no centro de uma espécie de arena para discursar em pé, com um microfone de mão que o permite se deslocar pelo local diante dos convencionais.O ex-ministro, que vai pagar a campanha de seu próprio bolso, já disse que está disposto a gastar até o teto de R$ 70 milhões estabelecido pela lei eleitoral para o primeiro turno da campanha presidencial. Parte do custo da convenção também será arcada por ele.","Ao lado de Temer, Meirelles é oficializado candidato do MDB ao Planalto","{psdb, pt, mdb, al, df, es}"
0,"Ciro foi o terceiro entrevistado do Central das Eleições, programa da Globo News",0,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641660-isolado-apos-articulacoes-de-lula-ciro-gomes-se-diz-o-cabra-marcado-para-morrer.html,"Isolado na corrida presidencial, Ciro Gomes, candidato do PDT, afirmou que sabia ""bastante bem"" que ""era o cabra marcado para morrer"". ""Trabalham juntos, para me isolar, o PMDB, do Temer, o PSDB, do Alckmin, e o PT, do Lula"", disse. Com críticas à legenda do ex-presidente, preso em Curitiba desde abril, Ciro foi o terceiro entrevistado do Central das Eleições, programa da Globo News, nesta quarta (1).""A burocracia do PT não está pensando no país. Eles simplesmente não querem que eu seja o candidato que vá representar uma renovação do pensamento progressista brasileiro. Mas eu não sei se eles vão conseguir porque eles têm ai um negócio muito maravilhoso, que é o povo"", disse Ciro, que reiterou ter apoiado Lula nos últimos 16 anos -""não faltei nenhum dia"".Pouco antes da entrevista, as cúpulas do PT e PSB decidiram sacrificar candidaturas estaduais em nome de um pacto nacional que levará ao isolamento de Ciro. Em meados de julho,após longo tempo de indefinição, a cúpula do centrão, então dividida entre apoiar o PSDB e o PDT,decidiu-se pelo candidato tucano.No programa, Ciro afirmou que acredita ser injusta a condenação de Lula, mas que também considera o comportamento do PT ""hostil a sorte do povo brasileiro"".""Virou baderna. Baderna, não, virou religião. Agora, o companheiro Stédile [líder do MST] chamou seis camaradas para fazer greve de fome. Vai lá, companheiro, morrer ai. Na minha opinião, isso não é política, é caudilhismo do mais barato"", afirmou.Nesta terça-feira (31),manifestantes que pedem a libertação do ex-presidente Lula anunciaram o início de uma greve de fome em ato no STF (Supremo Tribunal Federal). Após lerem um manifesto, seis ativistas foram retirados da frente do prédio por seguranças da corte.Durante a entrevista, Ciro também se defendeu das críticas ao seu estilo verborrágico, mas admitiu que a postura pode prejudicá-lo. Questionado se o estilo teria criado uma""Eu não sou candidato a madre superior do Brasil, eu sou candidato a presidente do Brasil"", disse após insistentes perguntas sobre seu temperamento.","Isolado após articulações de Lula, Ciro Gomes se diz 'o cabra marcado para morrer'","{pr, psdb, ac, pt, psb, pdt}"
0,O resultado oficial ainda será divulgado até o fim da convenção do partido em Brasília,meirr002-84226902jpg,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641655-meirelles-ja-tem-os-votos-do-mdb-para-ser-candidato-a-presidencia-pela-legenda.html,"O ex-ministro da Fazenda Henrique Meirelles já conseguiu obter número suficiente de votos dos delegados do MDB para ser oficializado como o candidato do partido para disputar a Presidência da República. A informação foi dada no final desta quinta-feira (2) durante convenção nacional do MDB pelo presidente da sigla, senador Romero Jucá (RR). O resultado oficial ainda será divulgado.Meirelles chegou por volta das 11h30min ao evento. Sob os gritos de ""chama o Meirelles"", seu bordão para a campanha, ele foi acolhido por um pequeno grupo de militantes que o acompanharam até o palco, montado no formato de uma arena.",Meirelles já tem os votos do MDB para ser candidato à Presidência pela legenda,"{mdb, rr}"
0,O apoio foi decidido sem a necessidade de votação nominal e aconteceu durante a convenção em Brasília com a presença de Alckmin,democratas__1_-84226962jpg,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641653-em-votacao-simbolica-dem-aprova-apoio-ao-psdb-nas-eleicoes-presidenciais.html,"O DEM oficializou nesta quinta-feira (2) em convenção nacional, o apoio do partido à pré-candidatura do PSDB à Presidência, encabeçada por Geraldo Alckmin. O apoio foi decidido por aclamação, sem a necessidade de votação nominal, e aconteceu em Brasília, com a presença do próprio Alckmin.O ex-governador de São Paulo foi convidado a se sentar no centro da bancada, entre o presidente da Câmara dos Deputados, Rodrigo Maia (DEM-RJ), e o presidente do DEM, ACM Neto. Ao chegar no evento, Maia disse que o Centrão - bloco formado por PP, PR, PRB, DEM e Solidariedade - chegou a um consenso sobre a indicação do nome de um vice para o tucano. ACM também foi na mesma linha e afirmou que a escolha pode sair nas próximas horas.Alckmin deve se desdobrar nesta quinta para marcar presença nas convenções do Centrão. Além de participar do evento do DEM, o tucano deve ir ainda da convenção nacional do PP, em Brasília. Os dois atos foram marcados para acontecer quase no mesmo horário, em locais diferentes da capital federal.","Em votação simbólica, DEM aprova apoio ao PSDB nas eleições presidenciais","{pr, psdb, pp, prb, df, sp, dem, rj, sd}"
0,Tema volta à pauta do STF na sexta-feira (3),pol_rosa_weber-17796022jpg,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641644-rosa-weber-vai-relatar-acao-que-pretende-descriminalizar-o-aborto.html,"O aborto volta agora à pauta do STF com um viés muito mais amplo, incluindo a descriminalização da interrupção da gravidez até a 12º semana. Rosa Weber que continua a integrar a Corte agora assume o posto de relatora da ação.Por sua natureza discreta, assessores dizem ser impossível indicar uma tendência da ministra a respeito do assunto. E para ampliar o mistério em torno do assunto, Rosa Weber também não tem prazos formais a cumprir para que torne público seu parecer. Ela ainda deve aguardar o posicionamento da Procuradoria-Geral da República (PGR) para concluir o voto. ""A PGR não se manifestará sobre esse assunto, no momento. Ela aguardará as audiências públicas que ocorrerão esse mês no STF para, só então, emitir parecer"", antecipou a assessoria do órgão.A pauta veio à tona em março do ano passado, quando o Partido Socialismo e Liberdade (PSOL) apresentou uma ação ao STF pedindo que o aborto feito por decisão da mulher nas 12 primeiras semanas de gravidez não seja mais considerado um crime.Menos de seis meses depois, Rosa Weber decidiu convocar audiências públicas para que pudesse ouvir todos os segmentos envolvidos com o tema. Mais de 40 pessoas que se inscreveram para falar sobre o assunto foram selecionadas para as exposições que ocorrerão nesta sexta-feira (3) e na próxima segunda-feira (6).Aos assessores do STF, Rosa Weber tem declarado que o assunto envolve diferentes valores públicos e direitos fundamentais e pode ser considerado um dos temas jurídicos ""mais sensíveis e delicados"", por envolver razões de ordem ética, moral, religiosa e de saúde pública e a tutela de direitos fundamentais individuais.Os participantes da audiência foram escolhidos por representarem áreas envolvidas direta ou indiretamente com o tema, como a científica, religiosa, de saúde e a relacionada aos direitos humanos. Cada expositor terá 20 minutos para se manifestar, mas, ao final, os ministros ainda podem pedir mais esclarecimentos. Depois desse processo, a procuradora-geral da República, Raquel Dodge, emitirá um parecer e, só então, a relatora Rosa Weber formulará seu voto que será submetido ao plenário do STF.Advogada do PSOL, Luciana Boiteaux afirma que já passou da hora de o Supremo decidir sobre o assunto. ""Estamos em 2018 e o Brasil é um dos poucos países que criminaliza o aborto"", afirmou, ao citar exemplos de países que têm forte presença religiosa em suas culturas, mas, ainda assim, têm regiões onde o procedimento é legalizado, tais como Irlanda, Estados Unidos, Argentina e Chile.""O Brasil tem um alto índice de mortes maternas. As complicações geradas por abortos, sejam eles espontâneos ou não, são o quarto motivo. É mais do que urgente para as mulheres discutir este tema"", disse. Para a advogada, a audiência pública marcada pelo Supremo é uma oportunidade para dar espaço a vozes tão caladas.Segundo Luciana, o argumento usado no pedido pelo direito ao aborto até a 12a semana é baseado em direitos constitucionais, como cidadania e a incompatibilidade de um corpo controlado pelo Estado. Ainda segundo ela, o aborto é uma realidade na vida de todas as mulheres, mas, as principais vítimas do aborto feito de forma ilegal são mulheres negras e pobres.Atualmente, segundo o Código Penal de 1940, uma mulher que faz aborto pode ser punida com pena de prisão de até três anos. Profissionais de saúde, amigos e parentes também podem responder pelo crime com pena de prisão de até quatro anos se for confirmada participação no procedimento. As únicas exceções ao crime de aborto são os casos de estupro, de risco para a vida da mulher ou de feto anencéfalo.Em 2016, um outro pedido chegou a ser apresentado ao STF para estender as exceções penais a situações de gravidez por mães infectadas pelo vírus Zika. O argumento foi o de que, além da microcefalia, a doença poderia provocar danos ainda maiores aos fetos, podendo não haver encéfalo ou apenas fragmentos. O caso acabou não avançando mesmo com um parecer do então procurador-geral Rodrigo Janot favorável ao mérito do pedido.",Rosa Weber vai relatar ação que pretende descriminalizar o aborto,{psol}
0,"Com a decisão, a Polícia Federal (PF) terá até setembro para encerrar as investigações",108292_01_02-15683872jpg,https://www.jornaldocomercio.com/_conteudo/politica/2018/08/641639-barroso-autoriza-prorrogacao-de-inquerito-sobre-decreto-dos-portos.html,"O ministro Luís Roberto Barroso, do Supremo Tribunal Federal (STF), autorizou na quarta-feira (1) nova prorrogação do inquérito que investiga suposto favorecimento da empresa Rodrimar S/A na edição do chamado Decreto dos Portos (Decreto 9.048/2017), assinado em maio do ano passado pelo presidente Michel Temer.Com a decisão, a Polícia Federal (PF) terá até setembro para encerrar as investigações. Em junho, antes do período de recesso no STF, Barroso havia autorizado os delegados responsáveis pelo caso a continuarem a investigação enquanto aguardava um parecer da Procuradoria-Geral da República (PGR). Com a chegada da manifestação, o ministro autorizou a nova prorrogação.Além do presidente Michel Temer, são investigados no mesmo inquérito o ex-deputado Rodrigo Rocha Loures e os donos da Rodrimar, empresários Antônio Celso Grecco e Ricardo Mesquita. A prorrogação foi pedida pela PF, que alegou haver diligências ainda a serem concluídas pela investigação.No inquérito, que ainda não teve denúncia apresentada, é investigado o suposto favorecimento da empresa Rodrimar S/A, concessionária do Porto de Santos, por meio do decreto assinado por Temer em maio do ano passado.Temer nega todas as suspeitas. No início do ano, ao responder por escrito a questionamentos dos delegados responsáveis pelo caso, a defesa do presidente declarou que ele nunca foi procurado por empresários do setor portuário para tratar da edição do decreto.",Barroso autoriza prorrogação de inquérito sobre Decreto dos Portos,{}
